eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
26375,AEPS INC DT 10-01-2019 RO,aeps incorporated dt 10 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4763,0.0,0.0,0.5704,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26479,AEPS INC DT 18-01-2019 RO,aeps incorporated dt 18 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4749,0.0,0.0,0.57,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25993,AEPS INC DT 08-12-2018 RO,aeps incorporated dt 08 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4742,0.0,0.0,0.5698,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26578,AEPS INC DT 26-01-2019 RO,aeps incorporated dt 26 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4742,0.0,0.0,0.5698,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26416,AEPS INC DT 14-01-2019 RO,aeps incorporated dt 14 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4737,0.0,0.0,0.5696,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26082,AEPS INC DT 12-15-2018 RO,aeps incorporated dt 12 15 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4732,0.0,0.0,0.5695,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26161,AEPS INC DT 12-23-2018 RO,aeps incorporated dt 12 23 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4733,0.0,0.0,0.5695,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26580,AEPS INC DT 27-01-2019 RO,aeps incorporated dt 27 01 2019 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4725,0.0,0.0,0.5692,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26178,AEPS INC DT 12-25-2018 RO,aeps incorporated dt 12 25 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4723,0.0,0.0,0.5692,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26157,AEPS INC DT 12-21-2018 RO,aeps incorporated dt 12 21 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4717,0.0,0.0,0.569,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
